comment_id,posts_id,user_id,comment_content,comment_date
61,421,232,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,12/16/2023
62,710,571,`⁄€‹›ﬁﬂ‡°·‚—±,12/1/2023
63,807,257,(｡◕ ∀ ◕｡),12/30/2023
64,158,665,"<>?:""{}|_+",12/13/2023
65,839,602,'',12/12/2023
66,1000,711,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/24/2023
67,104,917,・(￣∀￣)・:*:,12/13/2023
68,816,671,１２３,12/11/2023
69,397,339,../../../../../../../../../../../etc/passwd%00,12/2/2023
70,845,188,１２３,12/21/2023
71,326,535,1.00,12/18/2023
72,464,375,"__ﾛ(,_,*)",12/28/2023
73,438,861,¡™£¢∞§¶•ªº–≠,12/11/2023
74,772,857,../../../../../../../../../../../etc/passwd%00,12/28/2023
75,656,355,¸˛Ç◊ı˜Â¯˘¿,12/25/2023
76,851,790,᠎,12/16/2023
77,587,647,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/2/2023
78,580,226,Ω≈ç√∫˜µ≤≥÷,12/26/2023
79,508,395,⁦test⁧,12/29/2023
80,203,550,1E02,12/21/2023
81,247,31,ÅÍÎÏ˝ÓÔÒÚÆ☃,12/14/2023
82,633,256,'',12/1/2023
83,792,934,"""'""'""''''""",12/21/2023
84,5,13,"""'""'""''''""",12/17/2023
85,760,578,Œ„´‰ˇÁ¨ˆØ∏”’,12/20/2023
86,540,302,␢,12/14/2023
87,438,940,⁦test⁧,12/19/2023
88,102,333,1/0,12/12/2023
89,112,779,‪‪test‪,12/21/2023
90,63,604,1;DROP TABLE users,12/12/2023
91,542,10,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",12/30/2023
92,400,265,-1,12/20/2023
93,473,243,1/0,12/28/2023
94,252,728,1.00,12/29/2023
95,559,268,$1.00,12/28/2023
96,976,973,1/2,12/23/2023
97,594,376,1/0,12/29/2023
98,862,776,../../../../../../../../../../../etc/passwd%00,12/29/2023
99,942,158,᠎,12/29/2023
100,823,613,nil,12/18/2023
101,439,549,사회과학원 어학연구소,12/6/2023
102,27,294,nil,12/13/2023
103,364,793,사회과학원 어학연구소,12/28/2023
104,90,694,᠎,12/4/2023
105,541,908,😍,12/29/2023
106,220,962,() { 0; }; touch /tmp/blns.shellshock1.fail;,12/20/2023
107,625,280,',12/14/2023
108,551,779, test ,12/16/2023
109,292,643,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12/8/2023
110,767,772,../../../../../../../../../../../etc/passwd%00,12/27/2023
111,701,809,1E2,12/3/2023
112,745,48,␢,12/8/2023
113,414,200,😍,12/20/2023
114,346,448,␡,12/2/2023
115,81,203,｀ｨ(´∀｀∩,12/5/2023
116,112,610,/dev/null; touch /tmp/blns.fail ; echo,12/8/2023
117,462,757,00˙Ɩ$-,12/26/2023
118,697,949,1;DROP TABLE users,12/23/2023
119,295,85,(｡◕ ∀ ◕｡),12/14/2023
120,263,246,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,12/1/2023
121,630,957,・(￣∀￣)・:*:,12/17/2023
122,170,378,-1E+02,12/4/2023
123,742,660,-1,12/18/2023
124,665,121,",./;'[]\-=",12/17/2023
125,235,875,｀ｨ(´∀｀∩,12/3/2023
126,181,987,$1.00,12/2/2023
127,636,55,・(￣∀￣)・:*:,12/5/2023
128,64,911,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",12/1/2023
129,544,750,¡™£¢∞§¶•ªº–≠,12/1/2023
130,315,437,œ∑´®†¥¨ˆøπ“‘,12/5/2023
131,86,659,0/0,12/1/2023
132,886,718, test ,12/7/2023
133,398,650,1'; DROP TABLE users--,12/16/2023
134,840,74,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",12/22/2023
135,395,585,1E02,12/30/2023
136,873,326,",./;'[]\-=",12/19/2023
137,708,239,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,12/23/2023
138,883,77,1/2,12/24/2023
139,282,164,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",12/19/2023
140,438,136,1,12/28/2023
141,865,32,・(￣∀￣)・:*:,12/19/2023
142,243,146,1/2,12/14/2023
143,94,431,הָיְתָהtestالصفحات التّحول,12/30/2023
144,183,395,パーティーへ行かないか,12/23/2023
145,992,29,00˙Ɩ$-,12/7/2023
146,931,121,​,12/20/2023
147,985,152,パーティーへ行かないか,12/30/2023
148,389,503,-1.00,12/4/2023
149,267,993,"<>?:""{}|_+",12/24/2023
150,576,634,"'""'",12/3/2023
151,909,129,١٢٣,12/27/2023
152,951,770,1;DROP TABLE users,12/25/2023
153,875,604,　,12/8/2023
154,482,738,/dev/null; touch /tmp/blns.fail ; echo,12/12/2023
155,369,887,"""""",12/19/2023
156,355,666,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/24/2023
157,361,495,nil,12/24/2023
158,93,687,¸˛Ç◊ı˜Â¯˘¿,12/25/2023
159,29,33,᠎,12/10/2023
160,972,990,⁰⁴⁵₀₁₂,12/18/2023
161,116,614,Œ„´‰ˇÁ¨ˆØ∏”’,12/22/2023
162,75,973,-1/2,12/17/2023
163,507,261,１２３,12/9/2023
164,602,561,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,12/19/2023
165,94,531,1'; DROP TABLE users--,12/30/2023
166,223,585,<script>alert('hi')</script>,12/12/2023
167,468,570,⁦test⁧,12/24/2023
168,311,365,test⁠test‫,12/13/2023
169,167,863,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,12/2/2023
170,869,762,null,12/20/2023
171,876,352,-1,12/26/2023
172,227,872,‪‪test‪,12/30/2023
173,433,447,`⁄€‹›ﬁﬂ‡°·‚—±,12/27/2023
174,902,526,울란바토르,12/3/2023
175,74,361,!@#$%^&*(),12/9/2023
176,826,887,nil,12/14/2023
177,417,534,<script>alert('hi')</script>,12/15/2023
178,25,25,!@#$%^&*(),12/20/2023
179,857,150, test ,12/25/2023
180,764,43,1'; DROP TABLE users--,12/14/2023
181,452,167,nil,12/9/2023
182,554,826,١٢٣,12/9/2023
183,678,350,1E+02,12/9/2023
184,578,490,社會科學院語學研究所,12/24/2023
185,123,601,œ∑´®†¥¨ˆøπ“‘,12/14/2023
186,634,341, ,12/22/2023
187,393,59,１２３,12/18/2023
188,947,675,../../../../../../../../../../../etc/hosts,12/19/2023
189,982,280,',12/26/2023
190,16,304,(╯°□°）╯︵ ┻━┻)  ,12/18/2023
191,441,273,Ω≈ç√∫˜µ≤≥÷,12/23/2023
192,853,229,-1.00,12/1/2023
193,207,52,$1.00,12/7/2023
194,102,153,‫test‫,12/14/2023
195,612,511,'',12/29/2023
196,650,435,1/0,12/10/2023
197,679,899,-1.00,12/19/2023
198,782,164,-$1.00,12/2/2023
199,233,863,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/28/2023
200,161,937,社會科學院語學研究所,12/24/2023
201,971,524,1E2,12/27/2023
202,573,452,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/11/2023
203,786,876,1,12/13/2023
204,520,20,｀ｨ(´∀｀∩,12/26/2023
205,367,383,1.00,12/9/2023
206,678,786,¸˛Ç◊ı˜Â¯˘¿,12/9/2023
207,80,42,1;DROP TABLE users,12/25/2023
208,556,100,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,12/19/2023
209,121,207,社會科學院語學研究所,12/23/2023
210,306,534,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12/3/2023
211,969,161,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,12/15/2023
212,140,328,"__ﾛ(,_,*)",12/19/2023
213,316,115,¡™£¢∞§¶•ªº–≠,12/7/2023
214,455,435,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,12/8/2023
215,313,138,1E2,12/8/2023
216,116,967,パーティーへ行かないか,12/19/2023
217,946,399,-1/2,12/26/2023
218,523,212,"""""",12/10/2023
219,930,842,"""'""'""''''""",12/9/2023
220,284,661,１２３,12/26/2023
221,43,376,NULL,12/29/2023
222,928,659,-1E2,12/6/2023
223,977,54,åß∂ƒ©˙∆˚¬…æ,12/1/2023
224,852,241,١٢٣,12/3/2023
225,837,192,⁰⁴⁵,12/23/2023
226,38,658,｀ｨ(´∀｀∩,12/1/2023
227,405,554,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,12/1/2023
228,958,165,-1E2,12/16/2023
229,460,999,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,12/18/2023
230,196,300,｀ｨ(´∀｀∩,12/25/2023
231,891,566,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/17/2023
232,239,832,⁦test⁧,12/8/2023
233,6,705,᠎,12/23/2023
234,366,640,../../../../../../../../../../../etc/passwd%00,12/27/2023
235,110,978,-1.00,12/13/2023
236,195,741,¸˛Ç◊ı˜Â¯˘¿,12/22/2023
237,378,492,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",12/2/2023
238,189,22,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",12/27/2023
239,598,762,-1.00,12/11/2023
240,345,204,"<>?:""{}|_+",12/10/2023
241,853,62,田中さんにあげて下さい,12/11/2023
242,301,298,<script>alert('hi')</script>,12/29/2023
243,740,757, test ,12/16/2023
244,277,914,',12/5/2023
245,682,336,../../../../../../../../../../../etc/hosts,12/12/2023
246,529,39,‫test‫,12/30/2023
247,531,63,(╯°□°）╯︵ ┻━┻)  ,12/12/2023
248,607,379,<svg><script>0<1>alert('XSS')</script>,12/13/2023
249,387,637,Ω≈ç√∫˜µ≤≥÷,12/28/2023
250,686,398,0.00,12/18/2023
251,875,915,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,12/5/2023
252,781,397,<img src=x onerror=alert('hi') />,12/1/2023
253,993,847,test⁠test‫,12/21/2023
254,335,909,/dev/null; touch /tmp/blns.fail ; echo,12/17/2023
255,401,65,00˙Ɩ$-,12/30/2023
256,102,730,åß∂ƒ©˙∆˚¬…æ,12/13/2023
257,845,672,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",12/12/2023
258,287,38,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,12/4/2023
259,110,573,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,12/20/2023
260,156,591,NIL,12/1/2023
261,324,585,"<>?:""{}|_+",12/6/2023
262,236,803,␢,12/21/2023
263,151,213,<svg><script>0<1>alert('XSS')</script>,12/27/2023
264,836,459,(｡◕ ∀ ◕｡),12/5/2023
265,210,836,-1E02,12/20/2023
266,442,232,　,12/8/2023
267,836,749,😍,12/4/2023
268,709,336, test ,12/15/2023
269,534,479,　,12/5/2023
270,489,712,　,12/7/2023
271,972,103,　,12/5/2023
272,605,1000,₀₁₂,12/28/2023
273,996,500,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",12/7/2023
274,842,806,1.00,12/20/2023
275,34,427,1E2,12/7/2023
276,16,916,部落格,12/11/2023
277,949,105,,12/21/2023
278,163,432,⁰⁴⁵₀₁₂,12/8/2023
279,70,533,␣,12/13/2023
280,242,517,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,12/26/2023
281,160,572,​,12/9/2023
282,203,880,​,12/4/2023
283,186,150,"""'""'""''''""",12/28/2023
284,608,684,⁰⁴⁵,12/4/2023
285,979,551,(｡◕ ∀ ◕｡),12/1/2023
286,584,706,../../../../../../../../../../../etc/passwd%00,12/30/2023
287,748,341,١٢٣,12/12/2023
288,827,751,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,12/25/2023
289,8,371,-1E02,12/1/2023
290,719,941,울란바토르,12/22/2023
291,911,21,',12/7/2023
292,989,341,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,12/26/2023
293,623,546,Œ„´‰ˇÁ¨ˆØ∏”’,12/15/2023
294,693,845,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,12/18/2023
295,483,738,,12/10/2023
296,445,223,$1.00,12/21/2023
297,132,137,‪‪test‪,12/13/2023
298,386,423,<script>alert('hi')</script>,12/15/2023
299,216,638,!@#$%^&*(),12/24/2023
300,714,575,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/26/2023
301,269,695,👩🏽,12/29/2023
302,988,913,<img src=x onerror=alert('hi') />,12/25/2023
303,94,715,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12/9/2023
304,973,972,NIL,12/19/2023
305,953,679,1/2,12/7/2023
306,349,654,",./;'[]\-=",12/25/2023
307,33,360,",./;'[]\-=",12/9/2023
308,183,121,null,12/15/2023
309,685,455,社會科學院語學研究所,12/7/2023
310,995,748,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,12/10/2023
311,296,236,１２３,12/28/2023
312,738,51,¡™£¢∞§¶•ªº–≠,12/7/2023
313,128,285,åß∂ƒ©˙∆˚¬…æ,12/29/2023
314,808,249,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/29/2023
315,269,652,<script>alert('hi')</script>,12/24/2023
316,355,444,田中さんにあげて下さい,12/6/2023
317,952,926,‪‪test‪,12/30/2023
318,669,633,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,12/27/2023
319,642,323,␡,12/2/2023
320,140,962,␡,12/17/2023
321,583,673,$1.00,12/4/2023
322,477,91,$1.00,12/14/2023
323,276,447,"__ﾛ(,_,*)",12/5/2023
324,242,167,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,12/18/2023
325,505,114,᠎,12/14/2023
326,571,23,(╯°□°）╯︵ ┻━┻)  ,12/5/2023
327,275,343,社會科學院語學研究所,12/23/2023
328,48,204,Ω≈ç√∫˜µ≤≥÷,12/14/2023
